productName,total_sold
"1969 Harley Davidson Ultimate Chopper",1057
"1952 Alpine Renault 1300",961
"1996 Moto Guzzi 1100i",999
"2003 Harley-Davidson Eagle Drag Bike",985
"1972 Alfa Romeo GTA",1030
"1962 LanciaA Delta 16V",932
"1968 Ford Mustang",933
"2001 Ferrari Enzo",1019
"1958 Setra Bus",972
"2002 Suzuki XREO",1028
"1969 Corvair Monza",963
"1968 Dodge Charger",925
"1969 Ford Falcon",965
"1970 Plymouth Hemi Cuda",900
"1957 Chevy Pickup",1056
"1969 Dodge Charger",992
"1940 Ford Pickup Truck",999
"1993 Mazda RX-7",947
"1937 Lincoln Berline",1111
"1936 Mercedes-Benz 500K Special Roadster",960
"1965 Aston Martin DB5",914
"1980s Black Hawk Helicopter",1040
"1917 Grand Touring Sedan",918
"1948 Porsche 356-A Roadster",972
"1995 Honda Civic",917
"1998 Chrysler Plymouth Prowler",986
"1911 Ford Town Car",832
"1964 Mercedes Tour Bus",1053
"1932 Model A Ford J-Coupe",957
"1926 Ford Fire Engine",998
"P-51-D Mustang",917
"1936 Harley Davidson El Knucklehead",945
"1928 Mercedes-Benz SSK",880
"1999 Indy 500 Monte Carlo SS",855
"1913 Ford Model T Speedster",1038
"1934 Ford V8 Coupe",985
"1999 Yamaha Speed Boat",966
"18th Century Vintage Horse Carriage",907
"1903 Ford Model A",883
"1992 Ferrari 360 Spider red",1808
"Collectable Wooden Train",918
"1969 Dodge Super Bee",974
"1917 Maxwell Touring Car",992
"1976 Ford Gran Torino",915
"1948 Porsche Type 356 Roadster",948
"1957 Vespa GS150",959
"1941 Chevrolet Special Deluxe Cabriolet",1076
"1970 Triumph Spitfire",945
"1932 Alfa Romeo 8C2300 Spider Sport",866
"1904 Buick Runabout",990
"1940s Ford truck",1061
"1939 Cadillac Limousine",995
"1957 Corvette Convertible",1013
"1957 Ford Thunderbird",767
"1970 Chevy Chevelle SS 454",803
"1970 Dodge Coronet",976
"1997 BMW R 1100 S",1033
"1966 Shelby Cobra 427 S/C",915
"1928 British Royal Navy Airplane",972
"1939 Chevrolet Deluxe Coupe",937
"1960 BSA Gold Star DBD34",1015
"18th century schooner",1011
"1938 Cadillac V-16 Presidential Limousine",955
"1962 Volkswagen Microbus",1029
"1982 Ducati 900 Monster",947
"1949 Jaguar XK 120",949
"1958 Chevy Corvette Limited Edition",983
"1900s Vintage Bi-Plane",940
"1952 Citroen-15CV",873
"1982 Lamborghini Diablo",912
"1912 Ford Model T Delivery Wagon",991
"1969 Chevrolet Camaro Z28",870
"1971 Alpine Renault 1600s",969
"1937 Horch 930V Limousine",884
"2002 Chevy Corvette",894
"1940 Ford Delivery Sedan",923
"1956 Porsche 356A Coupe",1052
"Corsair F4U ( Bird Cage)",1051
"1936 Mercedes Benz 500k Roadster",824
"1992 Porsche Cayenne Turbo Silver",867
"1936 Chrysler Airflow",983
"1900s Vintage Tri-Plane",1009
"1961 Chevrolet Impala",941
"1980’s GM Manhattan Express",911
"1997 BMW F650 ST",1014
"1982 Ducati 996 R",906
"1954 Greyhound Scenicruiser",955
"1950's Chicago Surface Lines Streetcar",934
"1996 Peterbilt 379 Stake Bed with Outrigger",988
"1928 Ford Phaeton Deluxe",972
"1974 Ducati 350 Mk3 Desmo",898
"1930 Buick Marquette Phaeton",1074
"Diamond T620 Semi-Skirted Tanker",979
"1962 City of Detroit Streetcar",966
"2002 Yamaha YZR M1",992
"The Schooner Bluenose",934
"American Airlines: B767-300",894
"The Mayflower",898
"HMS Bounty",897
"America West Airlines B757-200",984
"The USS Constitution Ship",1020
"1982 Camaro Z28",997
"ATA: B757-300",973
"F/A 18 Hornet 1/72",1047
"The Titanic",952
"The Queen Mary",896
"American Airlines: MD-11S",1085
"Boeing X-32A JSF",960
"Pont Yacht",958
